,Actual,Random Walk,"ARIMA(1,0,1)",SVR,Quantile LSTM
2024-03-24,-0.7774053274104711,0.0,-0.4828032898883948,-0.1010644043454752,-0.48090662361033965
2024-03-25,-1.2127404043397814,0.0,-0.3398683696254908,-0.3563780384062158,-0.4582678356771735
2024-03-26,-0.7526355653768049,0.0,-0.2662435927732812,-0.5456929306214885,-0.4133786670501228
2024-03-27,1.3731031765531112,0.0,-0.22831998560599562,-0.33867094289883903,-0.3879622225940025
2024-03-28,0.4931266644895267,0.0,-0.20878580102754102,-0.22253319247316616,-0.3781187781693843
2024-03-29,-0.7946403056505582,0.0,-0.19872387929467636,-0.1616335941359357,-0.3675278103920036
2024-03-30,0.7699011496700341,0.0,-0.19354105384569598,0.0970663756975646,-0.36904566392830485
2024-03-31,0.1456163240220606,0.0,-0.19087141673782007,-0.6851604834019347,-0.3698452852376446
2024-04-01,1.4529674857993338,0.0,-0.18949630535158765,-0.620013761774582,-0.37018072046177203
2024-04-02,-1.0530796408160286,0.0,-0.18878799510261507,-0.17288986606955548,-0.3703056295305069
2024-04-03,-0.4914932198966523,0.0,-0.18842314945169353,0.10539148596391701,-0.37033778675536266
2024-04-04,-0.5881622296982365,0.0,-0.18823522001090193,0.19859202771700324,-0.37031894367859824
2024-04-05,-2.195272422198178,0.0,-0.1881384188714967,-0.7788060116881216,-0.370311504017222
2024-04-06,0.44418041559686405,0.0,-0.1880885572822179,-0.11515881584986531,-0.37030884118760377
2024-04-07,0.391582908269834,0.0,-0.18806287392662227,-0.2237176971627798,-0.3703081500715196
2024-04-08,0.007670184963691335,0.0,-0.18804964460994394,-0.2924288371319299,-0.3703081500715196
2024-04-09,-0.3518807000627204,0.0,-0.18804283028153101,-0.29607836827790446,-0.3703082720331815
